Date,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+
12/27/2020,0,0,0,0,0,0,0,0,0
12/28/2020,0,0,0,0,0,0,0,0,0
12/29/2020,0,0,0,0,0,0,0,0,0
12/30/2020,0,0,0,0,0,0,0,0,0
12/31/2020,0,0,101,93,95,105,53,8,5
1/1/2021,0,0,274,252,258,283,146,26,16
1/2/2021,0,0,444,409,418,460,226,29,18
1/3/2021,0,0,291,267,274,301,174,48,29
1/4/2021,0,0,36,33,34,37,20,4,2
1/5/2021,0,0,70,65,66,73,37,6,4
1/6/2021,0,0,491,451,462,507,300,89,55
1/7/2021,0,3,504,463,475,521,439,237,146
1/8/2021,0,0,1434,1319,1350,1483,1143,557,343
1/9/2021,0,10,2854,2624,2687,2951,2076,887,546
1/10/2021,0,0,158,145,149,163,101,33,20
1/11/2021,0,0,228,209,214,235,135,36,22
1/12/2021,0,8,2748,2527,2588,2842,1707,528,325
1/13/2021,0,0,192,177,181,199,108,24,14
1/14/2021,0,2,3230,2970,3041,3340,2245,887,546
1/15/2021,0,14,3680,3384,3465,3806,2612,1070,659
1/16/2021,0,19,4435,4077,4175,4585,3641,1842,1135
1/17/2021,0,1,600,552,565,621,428,176,108
1/18/2021,0,0,28,26,27,29,57,49,30
1/19/2021,0,4,2514,2311,2367,2600,1569,491,302
1/20/2021,0,0,177,162,166,183,178,111,68
1/21/2021,0,0,246,227,232,255,213,114,70
1/22/2021,0,26,6188,5689,5826,6398,5054,2540,1565
1/23/2021,0,18,3908,3593,3679,4041,3355,1787,1101
1/24/2021,0,23,5810,5341,5470,6008,4580,2200,1355
1/25/2021,0,0,136,125,128,141,310,277,171
1/26/2021,0,4,912,839,859,943,834,474,292
1/27/2021,0,5,2003,1841,1886,2071,1817,1025,631
1/28/2021,0,7,2455,2257,2312,2539,2341,1383,852
1/29/2021,0,15,2587,2379,2436,2675,2472,1463,901
1/30/2021,0,31,6537,6010,6155,6759,7095,4645,2862
1/31/2021,0,19,2342,2153,2205,2421,2581,1708,1052
2/1/2021,0,5,1001,920,942,1035,1033,651,401
2/2/2021,0,0,66,61,62,68,326,331,204
2/3/2021,0,4,1538,1414,1448,1591,1852,1297,799
2/4/2021,0,0,189,173,178,195,511,477,293
2/5/2021,0,36,2800,2574,2636,2895,8274,7840,4830
2/6/2021,0,12,1199,1102,1129,1240,8025,8365,5154
